NQUEST,nord,YL1,YL2,YTP1,YTP2,YTA1,YTA11,YTA12,YTA2,YTA31,YCA1,YCA2,YTA32,YTA4,YTA5,YL,YTP,YTA3,YTA,YT,YM,YCA,YCF1,YCF2,YCF3,YCF4,YCF,YC,Y
37810,1,0,0,7182,0,0,0,0,0,0,0,2400,0,0,0,0,7182,0,0,7182,0,2400,15.494351361,0,0,0,15.494351361,2415.4943514,9597.4943514
38014,1,0,0,23400,0,0,0,0,0,0,0,5400,0,0,0,0,23400,0,0,23400,0,5400,56.802580462,0,0,0,56.802580462,5456.8025805,28856.80258
38095,1,21000,0,0,0,0,0,0,0,0,0,4800,0,0,0,21000,0,0,0,0,0,4800,10.846045953,0,0,0,10.846045953,4810.846046,25810.846046
38106,1,0,0,25740,0,0,0,0,0,0,0,12000,0,0,0,0,25740,0,0,25740,0,12000,20.762430824,0,0,0,20.762430824,12020.762431,37760.762431
38316,1,42000,0,0,0,0,0,0,0,0,0,9600,0,0,0,42000,0,0,0,0,0,9600,15.494351361,372.93862524,754.0745225,0,1142.5074991,10742.507499,52742.507499
38316,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30000,0,0,0,0,0,0,0,30000
38316,3,6000,0,0,0,0,0,0,0,0,0,0,0,0,0,6000,0,0,0,0,0,0,0,0,0,0,0,0,6000
38316,4,6500,0,0,0,0,0,0,0,0,0,0,0,0,0,6500,0,0,0,0,0,0,0,0,0,0,0,0,6500
38877,1,0,0,22750,0,0,0,0,0,0,0,0,0,0,0,0,22750,0,0,22750,0,0,9.3288987438,0,0,0,9.3288987438,9.3288987438,22759.328899
38885,1,0,0,17550,0,0,0,0,0,0,0,7000,0,0,0,0,17550,0,0,17550,0,7000,306.17156837,0,38.332343856,0,344.50391223,7344.5039122,24894.503912
38885,2,0,0,8970,0,0,0,0,0,0,0,0,0,0,0,0,8970,0,0,8970,0,0,0,0,0,0,0,0,8970
38939,1,0,0,0,0,0,0,0,0,0,0,9200,0,1200,0,0,0,0,1200,1200,12000,9200,335.20378559,0,1547.5608729,43.064098145,1839.7005604,11039.70056,24239.70056
38939,2,0,0,13000,0,0,0,0,0,0,0,0,0,0,0,0,13000,0,0,13000,0,0,0,0,0,0,0,0,13000
