NQUEST,Y,CN,CD1,CD2,CD,C,S
512963,29960.676406,17860,0,0,0,17860,12100.676406
513131,27621.648988,16400,0,0,0,16400,11221.648988
513369,28009.296611,19300,0,0,0,19300,8709.2966108
513377,17105.449713,12400,0,0,0,12400,4705.4497131
513384,36672.626174,23460,0,1500,1500,24960,11712.626174
513406,46332.391049,21200,0,0,0,21200,25132.391049
610980,36340.981832,22700,0,0,0,22700,13640.981832
611412,129580.52785,46800,0,0,0,46800,82780.527848
611441,49013.31552,59000,0,0,0,59000,-9986.68448
611453,48792.385116,37200,18000,0,18000,55200,-6407.614884
611512,26470.691102,22220,0,0,0,22220,4250.6911024
611614,75179.734476,36900,0,0,0,36900,38279.734476
611774,36598.019196,20686,0,0,0,20686,15912.019196
613825,7200.6197741,7800,0,0,0,7800,-599.3802259
614660,16362.241944,10500,0,0,0,10500,5862.241944
614683,44427.927634,26400,8000,0,8000,34400,10027.927634
614783,28915.494351,29600,0,0,0,29600,-684.5056486
615399,43230.988703,28700,0,0,0,28700,14530.988703
616016,13241.692092,12500,0,0,0,12500,741.69209191
617023,88278.590911,53200,-2250,0,-2250,50950,37328.590911
617231,70045.730036,45900,0,0,0,45900,24145.730036
617398,145640.04554,67800,0,0,0,67800,77840.045542
617902,158635.98372,152700,0,0,0,152700,5935.9837186
620481,77856.568272,18500,0,2000,2000,20500,57356.568272
620805,54930.988703,39512,0,0,0,39512,15418.988703
620829,28851.362404,23440,8900,0,8900,32340,-3488.637596
620858,59669.112066,40900,0,680,680,41580,18089.112066
621762,4861.9774054,9100,0,0,0,9100,-4238.022595
621766,21461.838089,12600,0,0,0,12600,8861.8380893
621773,40346.483054,21900,0,0,0,21900,18446.483054
622306,22908.051814,15912,0,0,0,15912,6996.0518141
622915,16538.986724,9620,0,0,0,9620,6918.9867238
623305,16817.353674,14680,0,1500,1500,16180,637.35367352
623606,31956.483054,20940,0,0,0,20940,11016.483054
623614,15063.790962,12450,0,0,0,12450,2613.7909622
623619,15601.549435,9840,0,0,0,9840,5761.5494351
624781,10201.549435,21600,0,0,0,21600,-11398.45056
625193,40136.350292,28600,0,0,0,28600,11536.350292
625641,56091.835109,29500,0,0,0,29500,26591.835109
625983,44275.932216,28400,0,0,0,28400,15875.932216
626189,11400.309887,9800,0,0,0,9800,1600.309887
626259,39906.866788,21800,0,500,500,22300,17606.866788
626361,19420.452544,18000,0,0,0,18000,1420.4525438
626680,10618.816794,5904,0,0,0,5904,4714.8167938
627067,23181.607185,15700,0,0,0,15700,7481.6071855
628418,36792.966108,27400,0,0,0,27400,9392.9661082
629458,27241.485927,27040,0,0,0,27040,201.48592668
629478,43446.483054,24000,0,0,0,24000,19446.483054
629488,21030.988703,19600,0,0,0,19600,1430.9887027
630345,28604.630165,20600,1500,0,1500,22100,6504.6301649
630650,31918.816794,21700,0,0,0,21700,10218.816794
631016,59608.6717,43500,0,0,0,43500,16108.6717
631306,52284.648305,30600,0,0,0,30600,21684.648305
631954,19343.384184,17100,0,0,0,17100,2243.3841838
632099,25141.404562,15800,0,0,0,15800,9341.4045621
632118,31380.988703,18600,0,0,0,18600,12780.988703
633412,54186.071717,21750,0,1000,1000,22750,31436.071717
633654,43830.988703,28600,0,0,0,28600,15230.988703
633941,17118.593222,14100,0,0,0,14100,3018.5932216
634144,37829.773328,20400,1000,0,1000,21400,16429.773328
634442,28874.943514,21200,0,0,0,21200,7674.9435136
635007,24161.977405,18800,0,0,0,18800,5361.9774054
635112,67002.675786,34429.475971,0,1100,1100,35529.475971,31473.199815
635346,33092.047776,26400,0,0,0,26400,6692.0477757
635513,21000,15200,0,0,0,15200,5800
635514,19801.549435,16450,0,0,0,16450,3351.5494351
636206,28600,12500,0,0,0,12500,16100
636289,45743.954811,20340,0,0,0,20340,25403.954811
636401,18798.46046,11700,0,0,0,11700,7098.4604595
636407,25432.889832,20360,0,0,0,20360,5072.8898324
636418,22516.483054,14800,0,0,0,14800,7716.4830541
637701,56409.296611,27400,0,0,0,27400,29009.296611
638250,21997.747176,21000,0,0,0,21000,997.74717568
638339,35151.883054,24040,0,0,0,24040,11111.883054
638360,43026.466979,24200,0,0,0,24200,18826.466979
639013,22870.944916,15260,0,0,0,15260,7610.9449162
639331,46508.594734,41800,15000,5000,20000,61800,-15291.40527
639575,15887.734946,16100,0,0,0,16100,-212.2650538
639924,14006.197741,21000,0,600,600,21600,-7593.802259
639971,26046.483054,25900,0,0,0,25900,146.48305408
640164,68041.723422,24300,0,0,0,24300,43741.723422
641084,9581.9648619,7340,0,0,0,7340,2241.9648619
648534,16427.086972,17600,0,0,0,17600,-1172.913028
648636,19343.241527,15380,0,0,0,15380,3963.241527
649032,37258.46046,20250,16000,0,16000,36250,1008.4604595
649054,26740.855941,22950,3000,0,3000,25950,790.85594062
649071,16477.186443,14600,0,0,0,14600,1877.1864433
649089,59070.142657,32650,0,0,0,32650,26420.142657
650027,17315.494351,12170,0,0,0,12170,5145.4943514
650091,24261.540802,15200,0,0,0,15200,9061.5408025
670362,22465.494351,14200,0,0,0,14200,8265.4943514
670485,53792.966108,30200,0,0,0,30200,23592.966108
670670,20794.937915,15400,0,0,0,15400,5394.9379149
670711,46002.316619,34100,15000,0,15000,49100,-3097.683381
670762,24171.186443,15000,0,0,0,15000,9171.1864433
670853,21008.506601,15800,0,0,0,15800,5208.506601
670857,21815.739541,19100,0,0,0,19100,2715.7395407
671152,34224.903564,22000,0,0,0,22000,12224.903564
671153,39858.737675,42800,0,0,0,42800,-2941.262325
671206,62737.186443,40800,0,400,400,41200,21537.186443
671362,36265.111301,23236,0,700,700,23936,12329.111301
671480,29020.142657,25080,0,1700,1700,26780,2240.1426568
671520,30747.337173,20800,0,10000,10000,30800,-52.66282723
671698,39116.716388,23600,0,0,0,23600,15516.716388
671841,74559.329352,34680,0,600,600,35280,39279.329352
671893,35809.916385,33840,0,670,670,34510,1299.9163849
672417,38159.119759,18900,0,0,0,18900,19259.119759
672486,23800.593222,14000,0,0,0,14000,9800.5932216
672541,51167.254453,19750,0,0,0,19750,31417.254453
672620,37930.988703,23800,0,0,0,23800,14130.988703
672679,46787.747176,23400,0,400,400,23800,22987.747176
673050,39866.164686,24800,0,0,0,24800,15066.164686
673051,20209.296611,13500,0,0,0,13500,6709.2966108
673145,58776.71098,32825,0,0,0,32825,25951.71098
673451,64654.860756,24600,0,0,0,24600,40054.860756
673452,16024.790962,20400,0,0,0,20400,-4375.209038
673467,43921.692092,20100,0,0,0,20100,23821.692092
673540,23290.494351,16300,0,0,0,16300,6990.4943514
673661,59891.422154,24450,0,0,0,24450,35441.422154
673816,29802.18197,15250,0,0,0,15250,14552.18197
673847,13000,13780,0,0,0,13780,-780
673882,52006.197741,18400,0,0,0,18400,33606.197741
673963,29031.984665,16600,0,0,0,16600,12431.984665
674019,22340.440257,8550,0,0,0,8550,13790.440257
674105,15015.494351,18220,0,0,0,18220,-3204.505649
674106,23907.747176,19300,0,0,0,19300,4607.7471757
674196,25666.32796,22960,0,5000,5000,27960,-2293.67204
674229,58401.549435,17000,0,0,0,17000,41401.549435
674239,51204.217602,11310,0,0,0,11310,39894.217602
674281,33621.75084,12700,0,0,0,12700,20921.75084
674283,15252.941389,9220,0,0,0,9220,6032.941389
674287,25855.220654,17260,0,0,0,17260,8595.2206536
674379,11160,11740,0,0,0,11740,-580
674440,32130.988703,17500,0,0,0,17500,14630.988703
674572,13202.142657,9092,0,150,150,9242,3960.1426568
674800,28755.779665,19060,0,400,400,19460,9295.7796649
674815,45167.813437,23154.052921,0,0,0,23154.052921,22013.760515
674842,38491.623418,27000,0,0,0,27000,11491.623418
674868,50868.989135,20600,0,0,0,20600,30268.989135
674869,40076.0007,20700,0,1300,1300,22000,18076.0007
674968,23028.67873,18800,0,0,0,18800,4228.6787305
674970,17174.648305,14700,0,0,0,14700,2474.6483054
674974,19891.619774,15900,0,0,0,15900,3991.6197741
675086,34002.479096,19600,0,0,0,19600,14402.479096
675265,25981.483054,19200,0,0,0,19200,6781.4830541
675280,60385.932216,27200,0,0,0,27200,33185.932216
675334,25388.105904,18557.117201,0,0,0,18557.117201,6830.9887027
675667,21003.09887,18800,0,0,0,18800,2203.0988703
675739,34487.079339,25720,14750,0,14750,40470,-5982.920661
675801,38268.175146,26800,0,0,0,26800,11468.175146
676000,77972.693203,28600,0,0,0,28600,49372.693203
676060,23201.549435,17850,0,0,0,17850,5351.5494351
676304,15603.09887,14100,0,0,0,14100,1503.0988703
676374,39154.790962,21000,0,3700,3700,24700,14454.790962
676521,52523.690095,26110,0,0,0,26110,26413.690095
676557,32328.898324,16200,0,0,0,16200,16128.898324
676580,15209.296611,12600,0,0,0,12600,2609.2966108
676807,13870,14100,0,0,0,14100,-230
676844,12360.846046,12100,0,0,0,12100,260.84604595
676851,16393.944916,13100,0,0,0,13100,3293.9449162
676941,9011.6483054,8100,0,0,0,8100,911.64830541
677112,33257.214821,26600,0,700,700,27300,5957.214821
677124,15032.823451,14040,0,0,0,14040,992.8234514
677167,60262.593222,24100,6000,0,6000,30100,30162.593222
677195,42705.361589,20200,0,0,0,20200,22505.361589
677287,7094.8745773,17100,0,0,0,17100,-10005.12542
677386,44077.471757,23100,0,2000,2000,25100,18977.471757
677464,53529.061262,29000,0,0,0,29000,24529.061262
677474,36876.877732,20450,0,0,0,20450,16426.877732
677475,41686.483054,14940,0,0,0,14940,26746.483054
677476,9893.0988703,10970,0,0,0,10970,-1076.90113
677489,27111.692092,31489,0,0,0,31489,-4377.307908
677946,93807.065489,46092,0,1400,1400,47492,46315.065489
677964,32803.408757,11700,0,0,0,11700,21103.408757
678132,7252.4790962,9852,0,0,0,9852,-2599.520904
678160,46489.867238,45000,20000,0,20000,65000,-18510.13276
680143,27026.197741,23450,0,0,0,23450,3576.1977405
680239,33525.988703,15700,0,0,0,15700,17825.988703
680243,39076.181197,23900,0,0,0,23900,15176.181197
680244,70375.697454,39790,950,600,1550,41340,29035.697454
680430,16809.296611,14400,0,0,0,14400,2409.2966108
680537,44327.889832,21800,0,0,0,21800,22527.889832
680587,31429.993237,29200,0,0,0,29200,2229.9932368
680870,87615.494351,50100,0,0,0,50100,37515.494351
681097,16909.296611,15424,0,0,0,15424,1485.2966108
681133,610.84604595,14412,0,0,0,14412,-13801.15395
681192,29780.887854,29020,0,0,0,29020,760.88785352
681349,12480,13800,0,0,0,13800,-1320
681387,12677.886548,13360,0,0,0,13360,-682.1134515
681394,27177.644479,27100,0,0,0,27100,77.644479354
681430,14240.988703,13200,0,350,350,13550,690.98870272
681499,19952.538138,17880,0,488,488,18368,1584.5381379
681520,22889.693988,14800,0,0,0,14800,8089.6939875
681668,23060.855941,17650,0,0,0,17650,5410.8559406
681713,71293.855075,50800,0,700,700,51500,19793.855075
681822,25015.494351,12400,0,750,750,13150,11865.494351
681844,126542.00628,39600,0,0,0,39600,86942.006284
682006,44948.003274,30200,0,0,0,30200,14748.003274
682125,17811.549435,11456,0,300,300,11756,6055.5494351
682169,17995.19832,14500,0,0,0,14500,3495.1983203
682170,57316.560594,45000,0,1500,1500,46500,10816.560594
682192,49001.426568,32000,0,0,0,32000,17001.426568
682204,19235.733686,15900,0,0,0,15900,3335.7336865
682210,28862.79398,16400,0,0,0,16400,12462.79398
682240,38836.460233,13900,0,0,0,13900,24936.460233
682272,22214.087573,19300,0,0,0,19300,2914.087573
682298,30605.887854,18900,0,0,0,18900,11705.887854
682359,29230.988703,17200,0,0,0,17200,12030.988703
682360,17064.790962,15700,0,0,0,15700,1364.7909622
682363,24330.988703,18000,15800,0,15800,33800,-9469.011297
682408,32806.7312,22000,4000,0,4000,26000,6806.7311998
682457,16912.395481,14160,0,0,0,14160,2752.3954811
682496,22744.63439,21200,0,0,0,21200,1544.63439
682732,10308.676837,11440,0,0,0,11440,-1131.323163
682737,70792.764768,29400,0,0,0,29400,41392.764768
682782,15569.693227,9496,0,500,500,9996,5573.693227
682812,64213.944916,17100,0,0,0,17100,47113.944916
682829,25041.598324,21500,0,0,0,21500,3541.5983245
